Item Name, Item Link, Item Price, Shipping Price,
Nike Air Max 95 QS Greedy 2.0 2020 Low Mens Shoes Grey White CJ0589 001 Multi Sz,https://www.ebay.com/itm/Nike-Air-Max-95-QS-Greedy-2-0-2020-Low-Mens-Shoes-Grey-White-CJ0589-001-Multi-Sz/184318282697?hash=item2aea39cbc9%3Ag%3Agt0AAOSwR25e2f5L&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=692010248407,$229.99,COULD NOT COMPUTE
Nike Men's Air Vapormax Plus Black Ember Glow Running Shoes CU4884-001,https://www.ebay.com/itm/Nike-Mens-Air-Vapormax-Plus-Black-Ember-Glow-Running-Shoes-CU4884-001/254620568166?hash=item3b48918a66%3Ag%3AxaUAAOSwEDde3rD-%3Asc%3AUSPSPriority%2111226%21US%21-1&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=554367848882,$178.88,COULD NOT COMPUTE
Nike Zoom KD 12 Don C All-Star Chicago Stars Blue White CD4982-900 Men's NEW,https://www.ebay.com/itm/Nike-Zoom-KD-12-Don-C-All-Star-Chicago-Stars-Blue-White-CD4982-900-Mens-NEW/124216691355?hash=item1cebe44a9b%3Ag%3AXMQAAOSwbLpeXvYa&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=425068389740,$155.99,COULD NOT COMPUTE
Nike Air Max Tailwind IV 4 Black Metallic Pewter Men's Sneakers,https://www.ebay.com/itm/Nike-Air-Max-Tailwind-IV-4-Black-Metallic-Pewter-Mens-Sneakers/224034613976?hash=item342980ead8%3Ag%3Azy4AAOSw87xe1-T-&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=522796846881,$149.99,COULD NOT COMPUTE
NIB NIKE METCON 5X Women's Shoe CD4951 001 Black/Black-Silver ALL SIZES,https://www.ebay.com/itm/NIB-NIKE-METCON-5X-Womens-Shoe-CD4951-001-Black-Black-Silver-ALL-SIZES/283899016465?hash=item4219b33511%3Ag%3A9vQAAOSwBYpeQtLi&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=585342664070,$145.00,COULD NOT COMPUTE
Nike Air Moc N7 x Pendleton 10th Anniversary Collaboration CQ7307-900 Men's NEW,https://www.ebay.com/itm/Nike-Air-Moc-N7-x-Pendleton-10th-Anniversary-Collaboration-CQ7307-900-Mens-NEW/124208889001?epid=19036001520&hash=item1ceb6d3ca9%3Ag%3AgQIAAOSw9gxdzHcl&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=425060137102,$120.99,COULD NOT COMPUTE
Nike Zoom Fly Flyknit AR4561-005 Black/Obsidian/Bright Crimson Men Running Shoes,https://www.ebay.com/itm/Nike-Zoom-Fly-Flyknit-AR4561-005-Black-Obsidian-Bright-Crimson-Men-Running-Shoes/254613780878?hash=item3b4829f98e%3Ag%3AkQ8AAOSwENVeUDTu&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=554358291991,$139.99,COULD NOT COMPUTE
52 Nike Women's Air Vapormax 2019 SE Green Phantom Shoes 8.5 9 9.5 CI1246 302,https://www.ebay.com/itm/52-Nike-Womens-Air-Vapormax-2019-SE-Green-Phantom-Shoes-8-5-9-9-5-CI1246-302/133429831017?hash=item1f1109a569%3Ag%3A6sUAAOSw5ERe2WpP&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=432850125763,$159.99,COULD NOT COMPUTE
52 Nike Joyride Run Flyknit White Running Shoes Womens Size 6.5-10.5 AQ2731-100,https://www.ebay.com/itm/52-Nike-Joyride-Run-Flyknit-White-Running-Shoes-Womens-Size-6-5-10-5-AQ2731-100/143622921146?hash=item217097dbba%3Ag%3A5LAAAOSwpZVe2ClY&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=442592668534,$113.04,COULD NOT COMPUTE
Nike Air Max 90 OG Volt 30th Anniversary Men's Sneakers,https://www.ebay.com/itm/Nike-Air-Max-90-OG-Volt-30th-Anniversary-Mens-Sneakers/224031360994?hash=item34294f47e2%3Ag%3AA-QAAOSwiE9e1VXz&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d&var=522793585065,$129.99,COULD NOT COMPUTE
Nike Air Huarache Women’s 6.5 Triple Red "All October" Shoe 634835-601 New,https://www.ebay.com/itm/Nike-Air-Huarache-Women-s-6-5-Triple-Red-All-October-Shoe-634835-601-New/193496941044?hash=item2d0d5101f4%3Ag%3A3m0AAOSwISJetMcV&_trkparms=%2526rpp_cid%253D5ee12c7b3c075b11c7386d5d,$98.10,COULD NOT COMPUTE
